,date,open,high,low,close,volume,market_cap,year,month,quarter,price
7236,2019-12-04,7320.13,7539.78,7170.92,7252.03,21664240918.0,131143073943.0,2019,December,4,7320.715
7237,2019-12-03,7323.98,7418.86,7229.36,7320.15,14797485769.0,132359942301.0,2019,December,4,7323.0875
7238,2019-12-02,7424.04,7474.82,7233.4,7321.99,17082040706.0,132378982377.0,2019,December,4,7363.5625
7239,2019-12-01,7571.62,7571.62,7291.34,7424.29,18720708479.0,134215145410.0,2019,December,4,7464.7175
7240,2019-11-30,7764.06,7836.1,7515.85,7569.63,17158194786.0,136829391049.0,2019,November,4,7671.41
7241,2019-11-29,7466.73,7781.18,7460.76,7761.24,19709695456.0,140280108521.0,2019,November,4,7617.477500000001
7242,2019-11-28,7536.82,7730.07,7454.12,7463.11,19050116751.0,134879411013.0,2019,November,4,7546.03
7243,2019-11-27,7220.88,7619.69,6974.17,7531.66,23991412764.0,136102712894.0,2019,November,4,7336.6
7244,2019-11-26,7145.16,7320.23,7098.57,7218.37,21129505542.0,130429018720.0,2019,November,4,7195.5824999999995
7245,2019-11-25,7039.98,7319.86,6617.17,7146.13,42685231262.0,129112952930.0,2019,November,4,7030.785
7246,2019-11-24,7398.63,7408.58,7029.29,7047.92,30433517289.0,127327398565.0,2019,November,4,7221.105
7247,2019-11-23,7296.16,7442.26,7151.42,7397.8,21008924418.0,133636205957.0,2019,November,4,7321.91
7248,2019-11-22,7643.57,7697.38,6936.71,7296.58,34242315785.0,131791783672.0,2019,November,4,7393.5599999999995
7249,2019-11-21,8023.64,8110.1,7597.38,7642.75,22514243371.0,138031885379.0,2019,November,4,7843.4675
7250,2019-11-20,8203.61,8237.24,8010.51,8027.27,20764300437.0,144962727398.0,2019,November,4,8119.657500000001
7251,2019-11-19,8305.13,8408.52,8099.96,8206.15,21083613816.0,148178376843.0,2019,November,4,8254.94
7252,2019-11-18,8573.98,8653.28,8273.57,8309.29,21579470673.0,150025712267.0,2019,November,4,8452.53
7253,2019-11-17,8549.47,8727.79,8500.97,8577.98,18668638897.0,154861842425.0,2019,November,4,8589.0525
7254,2019-11-16,8491.17,8592.0,8473.97,8550.76,16495389808.0,154354054194.0,2019,November,4,8526.975
7255,2019-11-15,8705.71,8730.87,8484.84,8491.99,21796856471.0,153277483626.0,2019,November,4,8603.3525
7256,2019-11-14,8811.94,8826.94,8692.55,8708.1,19084739975.0,157160974644.0,2019,November,4,8759.8825
